COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
South Sudan,SSD,AFRO,REPORTING,2021-05-03,4360,4360,0.039,0.039,SII - Covishield,2021-04-06,1
American Samoa,ASM,WPRO,REPORTING,2021-04-26,37590,21165,68.102,38.344,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",,3
Tonga,TON,WPRO,REPORTING,2021-04-23,4198,4198,3.972,3.972,AstraZeneca - AZD1222,2021-04-14,1
Jordan,JOR,EMRO,REPORTING,2021-04-29,922192,701491,9.038,6.875,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-13,5
Iceland,ISL,EURO,REPORTING,2021-04-25,113783,81048,31.2,22.258,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2021-04-30,230000,,0.809,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Wuhan CNBG - Inactivated",2021-02-18,3
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-04-30,43277,43277,3.092,3.092,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
New Caledonia,NCL,WPRO,REPORTING,2021-04-25,58317,34978,20.426,12.252,Pfizer BioNTech - Comirnaty,2021-01-20,1
Cayman Islands,CYM,AMRO,REPORTING,2021-04-30,65680,35559,99.939,54.107,Pfizer BioNTech - Comirnaty,2021-01-15,1
Serbia,SRB,EURO,REPORTING,2021-04-25,3245575,1939132,46.9,27.995,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2020-12-23,4
Bulgaria,BGR,EURO,REPORTING,2021-04-25,723274,559304,10.4,8.046,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,4
Slovakia,SVK,EURO,REPORTING,2021-04-25,1452420,1029213,26.6,18.857,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Myanmar,MMR,SEARO,REPORTING,2021-02-04,105490,105490,0.194,0.194,SII - Covishield,2021-01-27,1
Austria,AUT,EURO,REPORTING,2021-04-25,2834403,2050827,31.8,23.04,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Guyana,GUY,AMRO,REPORTING,2021-04-30,113596,111825,14.442,14.217,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-02-11,4
United Arab Emirates,ARE,EMRO,OWID,2021-05-02,10634693,,107.525,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
Bahamas,BHS,AMRO,REPORTING,2021-04-30,30403,30403,7.731,7.731,"AstraZeneca - AZD1222,SII - Covishield",2021-03-14,2
Brunei Darussalam,BRN,WPRO,REPORTING,2021-04-26,10715,10684,2.449,2.442,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5
China,CHN,WPRO,REPORTING,2021-04-26,211220000,,14.356,,"Anhui ZL - Recombinant,Beijing CNBG - Inactivated,CanSino - Ad5-nCOV,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",,5
Australia,AUS,WPRO,REPORTING,2021-04-26,1933892,,7.584,,"AstraZeneca - AZD1222,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3
India,IND,SEARO,REPORTING,2021-04-27,147727054,122862010,10.705,8.903,"Bharat - Covaxin,Gamaleya - Sputnik V,SII - Covishield",2021-01-16,3
Barbados,BRB,AMRO,REPORTING,2021-04-30,85780,73949,29.849,25.733,"AstraZeneca - AZD1222,SII - Covishield",2021-02-10,2
Panama,PAN,AMRO,REPORTING,2021-04-30,660961,430671,15.319,9.981,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Greece,GRC,EURO,REPORTING,2021-04-25,2816844,2000862,26.3,18.667,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Honduras,HND,AMRO,REPORTING,2021-04-30,64369,61614,0.65,0.622,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273",2021-02-26,4
Saint Lucia,LCA,AMRO,REPORTING,2021-04-30,25832,24230,14.068,13.195,"AstraZeneca - AZD1222,SII - Covishield",2021-02-17,2
